,CONCESIONARIO,EMPRESA,GRUPO,INGRESOS_TOTAL_E
47,"GRUPO W COM, S.A. DE C.V.",STAR GO/STAR TV,STARGROUP,858427008.6
115,"TELECOMUNICACIONES 360, S.A. DE C.V.",OUI,OUI,729143369.6000001
71,"MARCATEL COM, S.A. DE C.V.",MARCATEL,MARCATEL,697511563.8
74,"MAXCOM TELECOMUNICACIONES, S.A.B. DE C.V.",MAXCOM,TRANSTELCO,623598170.0
93,"SATELITES MEXICANOS, S.A. DE C.V.",EUTELSAT AMERICAS,EUTELSAT AMERICAS,567683560.5999999
55,"HNS DE MEXICO, S.A. DE C.V.",HNS DE MEXICO,HNS DE MEXICO,503481972.5
122,"TELEVERA RED, S.A.P.I. DE C.V.",TELEVERA RED,STARGROUP,422431822.93999994
128,"UC TELECOMUNICACIONES, S.A.P.I. DE C.V.",UC TELECOM,UC TELECOM,330305215.0
132,"VERIZON SERVICIOS EMPRESARIALES MEXICO, S. DE R.L. DE C.V.",VERIZON SERVICIOS EMPRESARIALES MEXICO,VERIZON SERVICIOS EMPRESARIALES MEXICO,258650617.39
8,"AXESS NET.SOLUTIONS MEXICO, S.A. DE C.V.",AXESS,HISPASAT,217920735.0
12,"BT LATAM MEXICO, S.A. DE C.V.",BT LATAM MEXICO,BT LATAM MEXICO,214085985.14999998
48,"GSAT COMUNICACIONES, S.A. DE C.V.",GLOBAL SAT,GLOBALSAT,171006327.0
103,"TALENTO NET, S. DE R.L. DE C.V.",NEWWW,NEWWW,168138066.74
135,"WIMOTELECOM, S.A. DE C.V.",WIMOTELECOM,WIMOTELECOM,166683898.51999998
57,"IENTC, S. DE R.L. DE C.V.",IENTC TELECOMUNICACIONES,IENTC,152043313.95
133,"VIRGIN MOBILE MEXICO, S. DE R.L. DE C.V.",VIRGIN MOBILE,VIRGIN MOBILE,146563495.0
54,"HISPASAT MEXICO, S.A. DE C.V.",HISPASAT,HISPASAT,139535703.13
37,"ELARA COMUNICACIONES, S.A.P.I. DE C.V.",ELARA COMUNICACIONES,ELARA COMUNICACIONES,134141677.71000001
41,"FREEDOMPOP MEXICO, S.A. DE C.V.",FREEDOMPOP,FREEDOM,112440924.0
35,"DIRI TELECOMUNICACIONES, S.A. DE C.V.",DIRI MOVIL,DIRI MOVIL,98055591.64
96,"SIHI MEXICO, S. DE R.L. DE C.V.",SIHI MEXICO,SIHI MEXICO,88198181.8
69,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",FLASH MOBILE,FLASH MOBILE,85875584.60000001
59,"INTEGRACION DE SERVICIOS Y TECNOLOGIA, S.A. DE C.V.",IST,IST,83697002.46000001
53,"HIPERCABLE DE MONCLOVA, S.A. DE C.V.",HIPERCABLE DE MONCLOVA,HIPERCABLE DE MONCLOVA,83430627.0
67,"LANTOINTERNET, S.A. DE C.V.",QUATTROCOM,QUATTROCOM,82752385.0
38,"ELARA COMUNICACIONES, S.A.P.I. DE C.V.",IVEEP INTERNET SATELITAL,ELARA COMUNICACIONES,65733283.6
7,"AXESS NET.SOLUTIONS MEXICO, S.A. DE C.V.",AXESAT,HISPASAT,60953802.0
