,CONCESIONARIO,EMPRESA,GRUPO,INGRESOS_TOTAL_E
1,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",ADDINTELI,ADDINTELI,5534961.0
110,"TELECABLE DE TEKAX, S.A. DE C.V.",TELECABLE DE TEKAX,TELECABLE DE TEKAX,5473548.88
52,"HERMOVISION, S. DE R.L. DE C.V.",HERMOVISION,HERMOVISION,4917794.0
39,"EYCO DE LOS ALTOS, S. DE R.L. DE C.V.",EYCO DE LOS ALTOS,EYCO DE LOS ALTOS,4796982.79
80,NATALIA CHAREEVA,NET LINK,NET LINK,4756865.0
112,"TELECABLE DE VILLANUEVA, S.A. DE C.V.",TELECABLE DE VILLANUEVA,TELECABLE DE VILLANUEVA,4355978.46
42,GABRIEL BUTRON CHIAPA,GABRIEL BUTRON CHIAPA,GABRIEL BUTRON CHIAPA,4266116.0
97,"SISCAB DE MEXICO, S.A. DE C.V.",SISCAB DE MEXICO,SISCAB DE MEXICO,4003498.0700000003
61,"JACE TELECOM, S.A. DE C.V.",JACE TELECOM,JACE TELECOM,3300058.0
130,"VALOR AGREGADO DIGITAL, S.A. DE C.V.",VADSA,VADSA,3185056.0
101,"STAR NET, S.A. DE C.V.",STAR NET,STAR NET,2856870.0
95,"SIERRA NORTE TELEVISION POR CABLE, S.A. DE C.V.",SINOTECA,SINOTECA,2836838.87
49,GUILLERMO MEDELLIN MILAN,GUILLERMO MEDELLIN MILAN,GUILLERMO MEDELLIN MILAN,2770189.3099999996
5,ARELY ISABEL GONGORA PECH,ARELY ISABEL GONGORA PECH,ARELY ISABEL GONGORA PECH,2757493.0
2,AGUSTIN PEREZ VIEYRA,AGUSTIN PEREZ VIEYRA,AGUSTIN PEREZ VIEYRA,2726562.21
98,"SISTEMAS ESPECIALES DE COMUNICACION, S.A.",SECSA,SECSA,2717734.3299999996
58,"INTEGRA COMUNICACIONES, S. DE R.L. DE C.V.",INTEGRA COMUNICACIONES,INTEGRA COMUNICACIONES,2598078.0
44,"GO 3PLAY, S. DE R.L. DE C.V.",GOBO,GOBO,2598078.0
102,SUCN. DE HORTENSIA TOSCANO MORA,TELECABLE DE AGUILILLA,TELECABLE DE AGUILILLA,2460596.77
104,"TELECAB, S.A. DE C.V.",TELECAB,TELECAB,2365983.5
91,ROBERTO LOPEZ BRAVO,ROBERTO LOPEZ BRAVO,ROBERTO LOPEZ BRAVO,2364694.58
73,"MARKETING 358, S.A. DE C.V.",MARKETING 358,MARKETING 358,2323024.23
28,"CONCABLETV, S.A. DE C.V.",CONCABLETV,CONCABLETV,2288255.0
63,JESUS MIGUEL FERNANDEZ GUERRERO,JESUS MIGUEL FERNANDEZ GUERRERO,JESUS MIGUEL FERNANDEZ GUERRERO,2279442.0
121,"TELESISTEMAS Y REDES MEXIQUENSES, S.A. DE C.V.",ESPID,ESPID,2251968.9400000004
70,MANUEL LOPEZ AVILA,MANUEL LOPEZ AVILA,MANUEL LOPEZ AVILA,2199560.0
30,"CONVERGENCIA Y DESARROLLO DIGITAL, S.A. DE C.V.",RED DOG,RED DOG,2144621.65
50,GUILLERMO ZARATE GARCIA,GUILLERMO ZARATE GARCIA,GUILLERMO ZARATE GARCIA,1765344.83
64,JOSE JULIAN SACRAMENTO GARZA,JOSE JULIAN SACRAMENTO GARZA,JOSE JULIAN SACRAMENTO GARZA,1533408.1199999999
82,OBDULIA NAVA BECERRIL,CABLEVISION DE LA HUACANA,CABLEVISION DE LA HUACANA,1515930.91
34,"CRO.NET, S.A. DE C.V.",CRO.NET,CRO.NET,1425388.0
29,"CONSORCIO DE RADIODIFUSORAS DE MEXICO, S.A. DE C.V.",TV-K,TV-K,1094570.0
66,"KUBO CEL, S.A.P.I. DE C.V.",QBO CEL,QBO CEL,998132.75
65,JOSÉ ASCENCIÓN GODÍNEZ RAMÍREZ,TELECABLE DE MARIANO ESCOBEDO Y SAN AGUSTIN DEL PULQUE,TELECABLE DE MARIANO ESCOBEDO,568497.32
60,ISALIA MORENO ZETINA,ISALIA MORENO ZETINA,ISALIA MORENO ZETINA,497141.0
62,JAIME SANCHEZ SANCHEZ,JAIME SANCHEZ SANCHEZ,JAIME SANCHEZ SANCHEZ,474403.0
13,"CABLE SISTEMA DEL CENTRO, S.A. DE C.V.",CABLE SISTEMA DEL CENTRO,CABLE SISTEMA DEL CENTRO,474403.0
100,"SOLUCIONES Y ASESORIA EN COBRANZA, S. DE R.L. DE C.V.",IGOU TELECOM,IGOU TELECOM,424046.07999999996
45,"GRUPO CORPORATIVO ZUNUN PAZ, S. A. DE C.V.",GRUPO CORPORATIVO ZUNUN PAZ,GRUPO CORPORATIVO ZUNUN PAZ,340986.0
124,"TELMOV MOVIL, S.A. DE C.V.",TELMOVIL,TELMOVIL,332068.91000000003
11,"BROCOMUNICACIONES MOVILES, S.A.P.I. DE C.V.",BROMOVIL,BROMOVIL,320585.14
36,EDUARDO PEDRERO PEREZ,EDUARDO PEDRERO PEREZ,EDUARDO PEDRERO PEREZ,68200.0
26,"COMNET, S.A. DE C.V.",COMNET,COMNET,43293.04
